node,betweenness_centrality,closeness_centrality,degree_centrality
alcicalm 0.25mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
aldep 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
aldep c tablet,1.602404439539721e-05,0.800508166969147,0.0916030534351145
aldep c tablet sr,1.602404439539721e-05,0.800508166969147,0.0916030534351145
aldep h tablet,1.602404439539721e-05,0.800508166969147,0.0916030534351145
aldip 0.25mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
aldol p 325mg/50mg tablet,1.073315002030881e-05,0.8348095995154818,0.05343511450381679
aldol t 100mg injection,5.8860647739280435e-06,0.8331696259916888,0.03816793893129771
aldol tp 50mg/500mg tablet,3.134616001256474e-05,0.8407929851315288,0.11450381679389313
alecta plus 325mg/37.5mg tablet,1.073315002030881e-05,0.8348095995154818,0.05343511450381679
aleez 0.25mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
aleez 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alep 0.25mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alfix 0.25mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alfix 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alflux 0.25mg/20mg tablet,6.825595443939102e-05,0.9317279256442754,0.08396946564885496
alfresh 0.25mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alfresh 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alidol 50mg injection,5.8860647739280435e-06,0.8331696259916888,0.03816793893129771
alidol p 37.5mg/325mg tablet,3.134616001256474e-05,0.8407929851315288,0.11450381679389313
alinol 0.25mg/20mg tablet,1.6745408863379544e-05,0.7151566249432518,0.061068702290076333
alinol 10 tablet,1.6745408863379544e-05,0.7151566249432518,0.061068702290076333
alivum forte 37.5mg/325mg tablet,3.134616001256474e-05,0.8407929851315288,0.11450381679389313
allert 0.25mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
